termine,definizione
Documento esterno,"Documento a uso di team, committente e proponente (RedBabel)."
Documento interno,Documento a uso del team di sviluppo e del committente (Vardanega Tullio e Cardin Riccardo).
ECR20,"È lo standard per i token\glo, definisce le funzioni e gli eventi che un contratto token di Ethereum deve implementare."
ESlint,"Strumento per l’analisi statica del codice e per l’identificazione di pattern in JavaScript, per ottenere più facilmente codice corretto e facilmente comprensibile."
Ethereum,Blockchain\glosp per la creazione e pubblicazione di smart contracts\glo. Uno smart contract\glosp che vuole girare su questa rete deve pagare la sua potenza computazionale tramite una valuta chiamata Ether. Come le altre blockchain\glosp permette anche lo scambio di valore monetario.
Ethereum Virtual Machine,"Macchina virtuale decentralizzata sulla rete Ethereum, che permette di eseguire ÐApps."
Event-driven,Il flusso del programma è largamente determinato dal verificarsi di eventi esterni.
Firebase Storage,"Piattaforma offerta da Google che permette a siti web ed applicazioni di salvare i dati dell'utente in diversi formati. Consente upload e download sicuri, anche con una connessione di scarsa qualità."
Framework,Piattaforma che funge da strato intermedio tra un sistema operativo e il software che lo utilizza.
Freeling,Software specializzato nel Part of Speech (PoS) tagging\glo. Il software sfrutta delle tecniche di apprendimento automatico supervisionato per tale classificazione.  
Front end,"Il front end è la parte di un'applicazione con la quale l'utente interagisce direttamente, responsabile dell’acquisizione dei dati di ingresso e per la loro elaborazione con modalità conformi a specifiche predefinite e invarianti, tali da renderli utilizzabili dal back end. "
Gamification,"Riutilizzo di concetti ed elementi tipici dei giochi in applicazioni di diverso contesto. Utilizzando questi principi si ottengono sia maggiore coinvolgimento degli utenti dell'applicazione, sia maggiore produttività ed organizzazione nel lavoro."
GitLab,"Sistema di gestione repository online, che integra servizi quali issue tracking system e l'integrazione di pipeline volte a continuos delivery\glosp e continuos integration\glo."
Governo,Per semplicità nei documenti viene usato questo termine per riferirsi a tutti gli enti governativi interessati nella gestione dell'IVA.
Hunpos,Software specializzato nel Part of Speech (PoS) tagging\glo. Il software sfrutta delle tecniche di apprendimento automatico supervisionato per tale classificazione.  
JSON,JavaScript Object Notation. E’ una sintassi per il salvataggio e scambio di dati.
Metamask,"Add-on\glosp disponibile nei browser Chrome, Firefox, Opera e Brave che permette agli utenti di interfacciarsi con la rete Ethereum\glosp senza ospitare un nodo della rete. Permette di autenticarsi in maniera sicura e di eseguire ÐApps\glosp sul proprio browser. Fornisce un'interfaccia utente per gestire più wallet/account e salvare tutti i dati direttamente nel browser. "
Milestone,Indica il raggiungimento di obbiettivi stabiliti con importanza strategica. 
Node.js,"Ambiente open-source per l'esecuzione di codice Javascript a run-time, al di fuori dei browser. Ciò permette l'esecuzione di codice Javascript server-side."
Open-Source,Software non protetto da copyright e liberamente modificabile dagli utenti.
Peer-to-peer,"Nelle reti telematiche, architettura in cui tutti i computer connessi svolgono la funzione sia di client che di server."
Plug-in,Componente aggiuntivo che può essere installato in un software per ampliarne le funzionalità.
PoS tagging,Interpretazione di un testo etichettando ciascuna parola con il relativo significato grammaticale.
Python,"Linguaggio di scripting interpretato, ad alto livello."
React,Libreria open source per JavaScript per la creazione di interfacce grafiche e la gestione delle interazioni in ambito web.
Redmine,"Piattaforma open source che permette la gestione di più progetti contemporaneamente, offrendo funzionalità di project management e issue tracking."
Redux,Libreria open source JavaScript per la gestione degli stati di React.
Rete Bayesiana,Modello grafico probabilistico che rappresenta un insieme di variabili stocastiche con le loro dipendenze condizionali.
SCSS,"Estensione del linguaggio CSS, che ne aumenta le funzionalità e l'espressività."
Server-side,Fa riferimento a operazioni compiute dal server in un ambito client-server contrapponendosi a tutto ciò che viene eseguito sul client.
Shortcut,Una maniera alternativa e più veloce per svolgere la stessa attività.
Skill,Funzioni aggiuntive per Amazon Alexa non previste nel pacchetto base.
Slack,"Sistema di messaggistica cloud-based orientato al mondo lavorativo. Permette la creazioni di diversi team di lavoro, ulteriormente suddivi in ""canali"" che trattano un particolare topic."
Smart Contract,"Protocolli per facilitare, attuare e verificare la negoziazione di un contratto in versione digitale. Permettono di ottenere lo stesso valore di un contratto reale senza l'ausilio di un garante esterno. Le transazioni che avvengono con questo protocollo sono tracciabili e irreversibili. Uno smart contract rappresenta del codice che può essere eseguito."
SonarQube,"Piattaforma open source che permette disvolgere una continua revisione del codice caricato in una repository, svolgendo analisi statica per individuare possibili bug e vulnerabilità in sicurezza."
Staging,Fase successiva alla fase di sviluppo del software che consiste nell'assemblare tutte le componenti e testarle in un server svolgere verifiche e test. Se il software possiede il comportamento desiderato allora può passare alla fase di produzione.
Stand-up,Riunioni giornaliere di breve durata in cui le persone che partecipano ad un progetto espongono i progressi raggiunti e le attività pianificate per la giornata. Sono uno degli elementi principali dei metodi di sviluppo Agile\glo. 
Telegram,Servizio di messaggistica istantanea  e VoIP cloud-based.
Time Series,"Insieme di variabili casuali ordinate rispetto al tempo, esprimendo quindi la dinamica di un certo fenomeno nel tempo."
Token,"Rappresentazione di una particolare risorsa o utilità che opera su una blockchain\glo. Un token può rappresentare un qualsiasi bene commerciabile, da materie prime fino alle criptovalute. Si differenzia dagli ""altcoins"" per il fatto che usa una blockchain già esistente."
Workflow,Gestione dei processi lavorativi attraverso la creazione di modelli e il management informatico dell'insieme dei task da svolgere per raggiungere specifici obiettivi di business.
